model,arm,signal,map,fit,scheme,bin,n,weight,conf_lo,conf_hi,mean_conf,empirical_rate,gap
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,0,11,0.102803738317757,0.4596495916810222,0.5770883698904009,0.5313446754966115,0.45454545454545453,-0.07679922095115693
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,1,11,0.102803738317757,0.5818203220827516,0.6193547820371077,0.6031614428545614,0.6363636363636364,0.03320219350907494
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,2,11,0.102803738317757,0.6197656849138251,0.651830271581071,0.6364880245410768,0.7272727272727273,0.09078470273165051
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,3,11,0.102803738317757,0.6554879593111057,0.6892444157953809,0.6748616401755089,0.5454545454545454,-0.12940709472096346
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,4,11,0.102803738317757,0.6903153684263186,0.7028808111884055,0.6960585888725119,0.6363636363636364,-0.059694952508875576
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,5,11,0.102803738317757,0.706327203041785,0.7164928540892647,0.7127452964473875,0.8181818181818182,0.10543652173443074
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,6,11,0.102803738317757,0.718148823612402,0.7482165567878039,0.73227269827284,0.7272727272727273,-0.004999971000112735
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,7,10,0.09345794392523364,0.7501504342499796,0.7664368460138385,0.7564133002099838,0.9,0.14358669979001626
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,8,10,0.09345794392523364,0.7679417915285677,0.7949385216899937,0.7815324030664069,0.9,0.1184675969335931
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,9,10,0.09345794392523364,0.7960141531800008,0.8569468255254717,0.813345986630144,0.6,-0.21334598663014404
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,0,8,0.032,0.0,0.0,0.0,0.375,0.375
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,2,16,0.064,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.5625,0.3352272727272727
